source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
Incomplete Records Tracking	List Manager	28	14	4
Integrated Billing	RPC Broker	28	8	2
Kernel	Registration	28	27	4
Pharmacy Benefits Management	MailMan	28	28	1
Text Integration Utility	PCE Patient Care Encounter	28	19	9
Uncategorized	Inpatient Medications	28	4	15
Uncategorized	MailMan	28	20	9
VA Point of Service	Registration	28	11	13
Web Services Client	Kernel	28	14	10
Clinical Case Registries	DRG Grouper	27	15	2
Mental Health	Text Integration Utility	27	13	10
Prosthetics	DRG Grouper	27	14	3
Scheduling	Toolkit	27	18	3
Shift Handoff Tool	VA FileMan	27	12	6
Vendor - Document Storage Systems	Registration	27	18	7
VistALink	Kernel	27	9	14
Automated Information Collection System	Scheduling	26	9	12
Engineering	MailMan	26	20	9
Enterprise Health Management Platform	Text Integration Utility	26	7	9
Fee Basis	MailMan	26	19	6
Health Summary	Outpatient Pharmacy	26	11	6
Imaging	MailMan	26	21	8
Mental Health	MailMan	26	26	4
Screen Handler for Fileman	VA FileMan	26	14	6
Text Integration Utility	MailMan	26	26	3
Uncategorized	Order Entry Results Reporting	26	4	18
Vendor - Document Storage Systems	Problem List	26	5	10
Adverse Reaction Tracking	List Manager	25	5	4
Controlled Substances	MailMan	25	17	3
Enterprise Health Management Platform	Toolkit	25	15	3
Fee Basis	CPT HCPCS Codes	25	10	3
Network Health Exchange	MailMan	25	12	7
Shift Handoff Tool	Order Entry Results Reporting	25	8	14
Visual Impairment Service Team	Registration	25	17	4
West Palm Beach VAMC	VA FileMan	25	13	10
A4AR Registration	A4AR Registration	24	13	11
Automated Medical Information Exchange	List Manager	24	7	6
Clinical Information Resource Network	List Manager	24	9	4
Consult Request Tracking	Order Entry Results Reporting	24	17	10
DSS Extracts	MailMan	24	21	5
HINQ	Income Verification Match	24	15	2
My HealtheVet	Outpatient Pharmacy	24	6	11
Order Entry Results Reporting	Radiology Nuclear Medicine	24	17	6
PCE Patient Care Encounter	MailMan	24	21	6
Pharmacy Data Management	Toolkit	24	19	4
Prosthetics	MailMan	24	20	4
