ien	name	item_text	type	package	entry_action	exit_action
5803	IBCNE JT COVERAGE LIMIT DATE RANGE	Coverage Limits	A	INTEGRATED BILLING	D CL^IBCNSC41	D BLD^IBCNSP S VALMBG=$G(IB1ST("PLIM"))
5804	IBCNB LIST POSITIVE VIEW	Pos. Buffer	A		K IBCNSORT D EN1^IBCNBLL(1)	
5805	IBCNB LIST NEGATIVE VIEW	Neg. Buffer	A		K IBCNSORT D EN1^IBCNBLL(2)	
5806	IBCNB LIST MEDICARE VIEW	Medicare Buffer	A		K IBCNSORT D EN1^IBCNBLL(3)	
5808	IBCNB EXPAND BENEFITS	Expand Benefits	A		D EN^IBCNBLB	
5809	AXAPCH APPROVE	OK for Live	A		D OK^AXAPCH	S VALMBCK="R"
5810	AXAPCH MENU	PatchMan Menu	M			
5811	AXAPCH SELECT STATUS	Select Status	A		D SS^AXAPCH	
5812	AXAPCH SELECT PACKAGE	Select Package	A		D SP^AXAPCH	
5813	AXAPCH BROWSE DESCRIPTION	Browse Description	A		D BD^AXAPCH	
5814	AXAPCH CHANGE STATUS	Change Status	A		D CS^AXAPCH	
5815	AXAPCH SELECT PERSON	Another Person	A		D AP^AXAPCH	
5816	AXAPCH BROWSE NOTES	Browse Notes	A		D BN^AXAPCH	
5817	AXAPCH MAKE NOTE	Make Note	A		D MN^AXAPCH	
5818	AXAPCH EDIT PATCH PACKAGE	Patch Packages	A		D PP^AXAPCH	
5819	AXAPCH ANY STATUS	Any Status	A		D AS^AXAPCH	
5820	AXAPCH ALL PACKAGES	All Packages	A		D AL^AXAPCH	
5821	AXAPCH TOGGLE ORDER	Toggle Order	A		D RV^AXAPCH	
5822	AXAPCH DOCUMENT INSTALL	Document Install	A		D DI^AXAPCH	
5823	AXAPCH ONE PATCH	One Patch	A		D OP^AXAPCH	
5824	AXAPCH PR	Edit Preferences	A		D PR^AXAPCH	
5825	XUMF 04 MFN	Institution updates	E			
5826	XUMF 04 MFK	Institution handler	S			
5827	XUMF 04 MFQ	Institution query	E			
5828	XUMF 04 MFR	Institution query response	S			
5829	EDP MONITOR	Monitor order messages for EDP Log	A		D EN^EDPFMON(.XQORMSG)	
5830	EDP CHECK-IN	Monitor for ED check-in	A		D SDAM^EDPFMON	
5831	EDP OR MONITOR	Monitor order messages for EDP Log	A		D ENOR^EDPFMON(.XQORMSG)	
5832	EDP NEW PATIENT	New EDIS Patient Event	X	EMERGENCY DEPARTMENT		
5833	EDPF ADD BOARD	Add	A	EMERGENCY DEPARTMENT	D ADD^EDPBKS	
5834	EDPF REMOVE BOARD	Remove	A	EMERGENCY DEPARTMENT	D REM^EDPBKS	
5835	EDPF CHANGE BOARD	Change	A	EMERGENCY DEPARTMENT	D CHG^EDPBKS	
5836	EDPF SELECT DIVISION	Select Division	A	EMERGENCY DEPARTMENT	D NEWDIV^EDPBKS	
5837	EDPF BIGBOARD MENU	Board Kiosk parameter edit menu	M	EMERGENCY DEPARTMENT		
5838	EDPF BLANK 1	   	A	EMERGENCY DEPARTMENT		
5839	EDPF BLANK 2	   	A	EMERGENCY DEPARTMENT		
5840	EDPF BLANK 3	   	A	EMERGENCY DEPARTMENT		
5841	EDPF QUIT	Quit	A	EMERGENCY DEPARTMENT	Q	
5842	PRS B02 SERVER HLO MPI	PRS B02 SERVER HLO MPI	E	PAID		
5843	PRS B02 CLIENT HLO MPI	PRS B02 CLIENT HLO MPI	S	PAID		
5844	PRS B02 SERVER	PRS B02 SERVER	E	PAID		
5845	PRS B02 CLIENT	PRS B02 CLIENT	S	PAID		
5846	PRS B01 SERVER HLO MPI	PRS B01 SERVER HLO MPI	E	PAID		
5847	PRS B01 CLIENT HLO MPI	PRS B01 CLIENT HLO MPI	S	PAID		
5848	PRS B01 SERVER	PRS B01 SERVER	E	PAID		
5849	PRS B01 CLIENT	PRS B01 CLIENT	S	PAID		
5850	XOBU TERMINATE CONNECTION MANAGER	Connection Manager	A	FOUNDATIONS	DO VLEN^XOBUZAP1	SET VALMBCK="R"
5851	XOBU TERMINATE ALL JOBS	Terminate All	A	FOUNDATIONS	DO TERMALL^XOBUZAP	
5852	XOBU TERMINATE A JOB	Terminate PID	A	FOUNDATIONS	DO TERMPID^XOBUZAP	
5853	XOBU TERMINATE SYSTEM STATUS	System Status	A	FOUNDATIONS	DO SS^XOBUZAP	
5854	XOBU TERMINATE JOBS REFRESH	Refresh	A	FOUNDATIONS	DO REFRESH^XOBUZAP	
5855	XOBU TERMINATE JOBS UTILITY MENU	Terminate Jobs Utility	M	FOUNDATIONS		
5856	XUPS B01 SERVER	PMU B01 event server for Person service	E	KERNEL		
5857	XUPS B01 CLIENT	B01 CLIENT FOR PERSON SERVICE	S	KERNEL		
5858	XUPS B02 CLIENT	B02 CLIENT FOR PERSON SERVICE	S	KERNEL		
5859	XUPS B02 SERVER	PMU B02 event server for Person Service	E	KERNEL		
5860	XUPS B01 SERVER HLO MPI	XUPS B01 SERVER HLO MPI	E	KERNEL		
5861	XUPS B01 CLIENT HLO MPI	XUPS B01 CLIENT HLO MPI	S	KERNEL		
