protocol_name	protocol_package	action_kind	callee_tag	callee_routine	call_kind	ref_count
EAS EZ ACCEPT FIELD		entry	ACCFLD	EASEZU3	do	1
EAS EZ CLEAR ALL		entry	CLEAR	EASEZU3	do	1
EAS EZ CLOSE/INACTIVATE 1010EZ		entry	CLOSE	EASEZU4	do	1
EAS EZ CONTINUE PROCESSING		entry	EXPND	EASEZL1	do	1
EAS EZ FILE 1010EZ DATA		entry	FILE	EASEZU4	do	1
EAS EZ LINK TO FILE 2		entry	LINK	EASEZU3	do	1
EAS EZ PRINT 1010EZ		entry	PRT1010	EASEZU4	do	1
EAS EZ RESET TO NEW		entry	RESET	EASEZU3	do	1
EAS EZ UPDATE FIELD		entry	UPDATE	EASEZU5	do	1
EAS EZ VERIFY SIGNATURE		entry	VERSIG	EASEZU4	do	1
EAS UE INP EVENT	ENROLLMENT APPLICATION SYSTEM	entry	INP	EASUER	do	1
EAS UE PCE EVENT	ENROLLMENT APPLICATION SYSTEM	entry	ENC	EASUER	do	1
EAS UE SCHED EVENT	ENROLLMENT APPLICATION SYSTEM	entry	SCHED	EASUER	do	1
EASEC LTC COPAY DEPENDENT ADD	ENROLLMENT APPLICATION SYSTEM	entry	EN1	EASECDP2	do	1
EASEC LTC COPAY DEPENDENT ADDDEP	ENROLLMENT APPLICATION SYSTEM	entry	ADDEP	EASECDP4	do	1
EASEC LTC COPAY DEPENDENT DEMO	ENROLLMENT APPLICATION SYSTEM	entry	EDITDEP	EASECDP4	do	1
EASEC LTC COPAY DEPENDENT EFFECTIVE	ENROLLMENT APPLICATION SYSTEM	entry	EN	EASECDP1	do	1
EASEC LTC COPAY DEPENDENT EXPAND	ENROLLMENT APPLICATION SYSTEM	entry	SEL	DGDEPU	do	1
EASEC LTC COPAY DEPENDENT MARR	ENROLLMENT APPLICATION SYSTEM	entry	EN3	EASECDP2	do	1
EASEC LTC COPAY DEPENDENT REMOVE	ENROLLMENT APPLICATION SYSTEM	entry	EN2	EASECDP2	do	1
EASEC LTC COPAY DEPENDENT SPOUSE DEMO	ENROLLMENT APPLICATION SYSTEM	entry	EN	EASECDP4	do	1
EC MUL ADD PAT	EVENT CAPTURE	entry	ADDPAT	ECMLMN	do	1
EC MUL ADD PROCDT	INTEGRATED PATIENT FUNDS	entry	PRDTADD	ECMLMP	do	1
EC MUL DEL PAT	EVENT CAPTURE	entry	PATDEL	ECMLMN	do	1
EC MUL DEL PROCDT	INTEGRATED PATIENT FUNDS	entry	PRDTDEL	ECMLMP	do	1
EC MUL PROC ADD	EVENT CAPTURE	entry	PRADD	ECMLMP	do	1
EC MUL PROC DEL	EVENT CAPTURE	entry	PRDEL	ECMLMP	do	1
EDP CHECK-IN		entry	SDAM	EDPFMON	do	1
EDP MONITOR		entry	EN	EDPFMON	do	1
EDP OR MONITOR		entry	ENOR	EDPFMON	do	1
EDPF ADD BOARD	EMERGENCY DEPARTMENT	entry	ADD	EDPBKS	do	1
EDPF CHANGE BOARD	EMERGENCY DEPARTMENT	entry	CHG	EDPBKS	do	1
EDPF REMOVE BOARD	EMERGENCY DEPARTMENT	entry	REM	EDPBKS	do	1
EDPF SELECT DIVISION	EMERGENCY DEPARTMENT	entry	NEWDIV	EDPBKS	do	1
FB BATCH STATUS	FEE BASIS	entry		FBPHON2	do	1
FB CHANGE VENDOR	FEE BASIS	entry	CV	FBPHON2	do	1
FB CHANGE VETERAN	FEE BASIS	entry	CP	FBPHON2	do	1
FB CPT DESCRIPTION	FEE BASIS	entry	EN	FBPHON2	do	1
FB DISPLAY AUTHORIZATION	FEE BASIS	entry		FBPHON2	do	1
FB DISPLAY CHECK	FEE BASIS	entry		FBPHON2	do	1
FB DISPLAY VENDOR	FEE BASIS	entry	DV	FBPHON2	do	1
FB EXPAND VIEW	FEE BASIS	entry		FBPHON2	do	1
FB INVOICE DISPLAY	FEE BASIS	entry		FBPHON2	do	1
FB LIST BATCH	FEE BASIS	entry		FBPHON2	do	1
FB PATIENT DATA CHANGE	FEE BASIS	entry	CHNG	FBPATDAT	do	1
FH RECEIVE		entry	EN	FHWOR	do	1
FH SIGNED REACTION CANCEL	DIETETICS	entry	CAN	FHWGMR	do	1
FH SIGNED REACTION INTERFACE	DIETETICS	entry	EN1	FHWGMR	do	1
FHW1	DIETETICS	entry		FHORDW	do	1
FHW2	DIETETICS	entry		FHOREW	do	1
FHW3	DIETETICS	entry		FHORDW2	do	1
FHW4	DIETETICS	entry		FHORDW1	do	1
FHW6	DIETETICS	entry		FHORCW	do	1
FHW7	DIETETICS	entry		FHOROW	do	1
FHW8	DIETETICS	entry		FHORTW	do	1
FHWD1	DIETETICS	entry	Q1	FHORDW	do	1
FHWD11	DIETETICS	entry	Q1	FHORDW	do	1
FHWD3	DIETETICS	entry	Q1	FHORDW	do	1
FHWD5	DIETETICS	entry	Q1	FHORDW	do	1
FHWD8	DIETETICS	entry	Q1	FHORDW	do	1
FHWD9	DIETETICS	entry	Q1	FHORDW	do	1
FHWMAS	DIETETICS	entry		FHWMAS	do	1
FHWMAS1	DIETETICS	entry		FHWADM	do	1
FHWMAS2	DIETETICS	entry	PASS	FHORD31	do	1
FHWMAS3	DIETETICS	entry		FHWDIS	do	1
FHWMENU	DIETETICS	entry		FHVER	do	1
FHWN1	DIETETICS	entry	NOW	%DTC	do	1
FHWN1	DIETETICS	entry	Q1	FHORDW1	do	1
FHWN2	DIETETICS	entry	NOW	%DTC	do	1
FHWN2	DIETETICS	entry	Q1	FHORDW1	do	1
FHWPRO1	DIETETICS	entry	OE	FHORD6	do	1
FHZ ELEVATE HEAD	ORDER ENTRY/RESULTS REPORTING	entry	DEN	ORGX	do	1
FHZ ELEVATE HEAD	ORDER ENTRY/RESULTS REPORTING	exit	DEX	ORGX	do	1
FHZ FLUSH TUBE	ORDER ENTRY/RESULTS REPORTING	entry	DEN	ORGX	do	1
FHZ FLUSH TUBE	ORDER ENTRY/RESULTS REPORTING	exit	DEX	ORGX	do	1
FSC EDIT CLOSE		entry	EDIT	FSCLMP	do	1
FSC EDIT DUPLICATE		entry	EDIT	FSCLMP	do	1
FSC EDIT EDIT		entry	EDIT	FSCLMP	do	1
FSC EDIT FORMAT		entry	EDIT	FSCLMP	do	1
FSC EDIT GOTO		entry	EDIT	FSCLMP	do	1
FSC EDIT NEW		entry	EDIT	FSCLMP	do	1
FSC EDIT NEXT		entry	EDIT	FSCLMP	do	1
FSC EDIT NOTE		entry	EDIT	FSCLMP	do	1
FSC EDIT NOTIFY		entry	EDIT	FSCLMP	do	1
FSC EDIT OTHER		entry	EDIT	FSCLMP	do	1
FSC EDIT PREV		entry	EDIT	FSCLMP	do	1
FSC EDIT STATUS		entry	EDIT	FSCLMP	do	1
FSC HIDDEN DEFINE LIST		entry	HIDDEN	FSCLMP	do	1
FSC HIDDEN EXIT		entry	HIDDEN	FSCLMP	do	1
FSC HIDDEN INSTALLS		entry	HIDDEN	FSCLMP	do	1
FSC HIDDEN PRINT SCREEN		entry	HIDDEN	FSCLMP	do	1
FSC HIDDEN PRINT TEXT		entry	HIDDEN	FSCLMP	do	1
FSC HIDDEN USER		entry	HIDDEN	FSCLMP	do	1
FSC INSTALL PACKAGE		entry	INSTALLS	FSCLMP	do	1
FSC INSTALL PATCH		entry	INSTALLS	FSCLMP	do	1
FSC INSTALLS ALL		entry	INSTALLS	FSCLMP	do	1
FSC INSTALLS PACKAGE		entry	INSTALLS	FSCLMP	do	1
