protocol_name	protocol_package	action_kind	callee_tag	callee_routine	call_kind	ref_count
BPS PRTCL USRSCR RESUBMIT		entry	RES	BPSSCRRS	do	1
BPS PRTCL USRSCR RESUBMIT EDITS		entry	RESED	BPSRES	do	1
BPS PRTCL USRSCR REVERSE		entry	REV	BPSSCRRV	do	1
BPS PRTCL USRSCR SORTLIST		entry	SL	BPSSCRSL	do	1
BPS PRTCL USRSCR UPDATE		entry	UD	BPSSCRUD	do	1
BPS PRTCL USRSCR VIEW ECME RX	E CLAIMS MGMT ENGINE	entry	VER	BPSVRX	do	1
BPS VALM DOWN A LINE		entry	DOWN	VALM40	do	1
BPS VALM FIRST SCREEN		entry	FIRST	VALM4	do	1
BPS VALM GOTO PAGE		entry	GOTO	VALM40	do	1
BPS VALM LAST SCREEN		entry	LAST	VALM4	do	1
BPS VALM NEXT SCREEN		entry	NEXT	VALM4	do	1
BPS VALM PREVIOUS SCREEN		entry	PREV	VALM4	do	1
BPS VALM PRINT SCREEN		entry	PRT	VALM1	do	1
BPS VALM UP ONE LINE		entry	UP	VALM40	do	1
BPS VRX NAV BILL LIST	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV BILLING EVENTS RPT	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV CRI	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV DG ELIG STATUS	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV DG ELIG VERIFICATION	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV ECME CLAIM LOG	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV INS POL	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV MED PROFILE	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV PRINT REPORT	E CLAIMS MGMT ENGINE	entry	REPORT	BPSVRX3	do	1
BPS VRX NAV TPJI AR ACCT PROFILE	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV TPJI AR COMMENT HISTORY	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV TPJI CLAIM INFORMATION	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV TPJI ECME RX INFO	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
BPS VRX NAV VIEWRX	E CLAIMS MGMT ENGINE	entry	NAV	BPSVRX	do	1
