source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
Electronic Health Modernization	Kernel	15	10	3
Electronic Health Modernization	Registration	11	7	4
Electronic Health Modernization	Scheduling	8	2	7
Electronic Health Modernization	VA FileMan	43	15	9
Electronic Signature	Kernel	3	1	2
Electronic Signature	VA FileMan	4	1	2
Emergency Department Integration Software	Adverse Reaction Tracking	1	1	1
Emergency Department Integration Software	Care Management	1	1	1
Emergency Department Integration Software	DRG Grouper	6	3	1
Emergency Department Integration Software	Emergency Department Integration Software	397	65	60
Emergency Department Integration Software	General Medical Record - Vitals	4	2	3
Emergency Department Integration Software	Kernel	97	51	13
Emergency Department Integration Software	Lab Service	4	4	1
Emergency Department Integration Software	Lexicon Utility	8	4	3
Emergency Department Integration Software	List Manager	2	1	2
Emergency Department Integration Software	M XML Parser	1	1	1
Emergency Department Integration Software	Order Entry Results Reporting	16	8	3
Emergency Department Integration Software	Outpatient Pharmacy	2	2	1
Emergency Department Integration Software	PCE Patient Care Encounter	5	3	1
Emergency Department Integration Software	Radiology Nuclear Medicine	1	1	1
Emergency Department Integration Software	Registration	14	10	7
Emergency Department Integration Software	Text Integration Utility	1	1	1
Emergency Department Integration Software	Toolkit	21	11	1
Emergency Department Integration Software	VA FileMan	86	40	13
Engineering	Engineering	814	248	207
Engineering	Generic Code Sheet	3	1	2
Engineering	IFCAP	2	2	2
Engineering	Kernel	175	86	16
Engineering	MailMan	26	20	9
Engineering	VA FileMan	988	338	35
Enrollment Application System	Enrollment Application System	504	117	107
Enrollment Application System	Fee Basis	1	1	1
Enrollment Application System	Health Level Seven	23	11	6
Enrollment Application System	Income Verification Match	57	17	25
Enrollment Application System	Integrated Billing	13	12	6
Enrollment Application System	Kernel	181	87	12
Enrollment Application System	List Manager	47	21	4
Enrollment Application System	MailMan	13	13	2
Enrollment Application System	Master Patient Index VistA	5	4	2
Enrollment Application System	Registration	198	80	49
Enrollment Application System	Scheduling	6	5	4
Enrollment Application System	VA FileMan	285	135	16
Enrollment Application System	VDEF	1	1	1
Enterprise Health Management Platform	Adverse Reaction Tracking	4	3	2
Enterprise Health Management Platform	Authorization Subscription	1	1	1
Enterprise Health Management Platform	Barcode Medication Administration	1	1	1
Enterprise Health Management Platform	CPT HCPCS Codes	11	7	2
Enterprise Health Management Platform	Clinical Procedures	3	2	1
Enterprise Health Management Platform	Clinical Reminders	3	2	2
Enterprise Health Management Platform	Consult Request Tracking	8	5	3
Enterprise Health Management Platform	DRG Grouper	5	3	1
Enterprise Health Management Platform	Enterprise Health Management Platform	612	101	89
