routine_name	package	source_path	line_count	byte_size	tag_count	comment_line_count	version_line	is_percent_routine	in_file_9_8	file_9_8_type	rpc_count	option_count	protocol_invoked_count	out_degree	in_degree	out_calls_total	in_calls_total	distinct_globals_touched	global_ref_total
DVBCWB4	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWB4.m	28	1010	4	3	;;2.7;AMIE;**183**;Apr 10, 1995;Build 8	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWB5	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWB5.m	92	4467	2	90	;;2.7;AMIE;**183**;Apr 10, 1995;Build 8	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWBS	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWBS.m	28	996	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWBS1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWBS1.m	101	3453	2	99	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWBS2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWBS2.m	28	1006	4	3	;;2.7;AMIE;**183**;Apr 10, 1995;Build 8	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWBS3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWBS3.m	173	10085	2	171	;;2.7;AMIE;**183**;Apr 10, 1995;Build 8	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWCI	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCI.m	29	1025	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWCI1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCI1.m	213	6415	2	211	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWCI2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCI2.m	252	9725	2	250	;;2.7;AMIE;**52**;APR 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWCI3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCI3.m	29	1019	4	4	;;2.7;AMIE;**52**;APR 10, 1995	N	Y	R	0	0	0	1	1	1	1	2	5
DVBCWCI4	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCI4.m	30	1032	4	3	;;2.7;AMIE;**52**;Apr 10, 1995	N	Y	R	0	0	0	2	0	2	0	2	5
DVBCWCN	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCN.m	28	976	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWCN1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCN1.m	50	1331	2	48	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWCN2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCN2.m	28	985	4	3	;;2.7;AMIE;**121**;Apr 10, 1995;Build 9	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWCN3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCN3.m	48	1547	2	46	;;2.7;AMIE;**121**;Apr 10, 1995;Build 9	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWCS	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCS.m	28	984	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWCS1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCS1.m	75	1583	2	73	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
