caller_routine	caller_package	callee_tag	callee_routine	kind	ref_count
DGX5F1	Registration	GETAPI	DGICDGT	do	3
DGX5F1	Registration	LABEL	DIALOGZ	func	11
DGX5F1	Registration	M	DIE17	goto	1
DGX5F1	Registration	N	DIE17	goto	1
DGX5F1	Registration	NOSCR	DIED	do	1
DGX5F1	Registration	OREF	DILF	func	4
DGX5F1	Registration	OUT	DIE17	goto	28
DGX5F1	Registration	POA501	DGPTFUT1	func	3
DGX5F1	Registration	RW	DIR2	goto	1
DGX5F1	Registration	SET	DIED	do	1
DGX5F1	Registration	SET	DIQ	func	1
DGX5F1	Registration	UNIQFERR	DIE17	goto	1
DGX5F1	Registration	Z	DIE17	goto	1
DGX5F1	Registration	Z	DIE2	goto	1
DGX5F2	Registration		DGX5F3	goto	1
DGX5F2	Registration		DICR	do	4
DGX5F2	Registration		DIE17	goto	1
DGX5F2	Registration	AST	DIED	goto	1
DGX5F2	Registration	CHQUES	DGPTSPQ	do	1
DGX5F2	Registration	CREF	DILF	func	2
DGX5F2	Registration	DRUG	DGPTSC01	do	1
DGX5F2	Registration	E	DIE0	do	3
DGX5F2	Registration	EZBLD	DIALOG	func	1
DGX5F2	Registration	F	DIE17	do	37
DGX5F2	Registration	FIREREC	DIE17	do	34
DGX5F2	Registration	GETAPI	DGICDGT	do	2
DGX5F2	Registration	LABEL	DIALOGZ	func	13
DGX5F2	Registration	M	DIE17	goto	1
DGX5F2	Registration	N	DIE17	goto	2
DGX5F2	Registration	NOSCR	DIED	do	1
DGX5F2	Registration	OREF	DILF	func	2
DGX5F2	Registration	OUT	DIE17	goto	34
DGX5F2	Registration	POA501	DGPTFUT1	func	2
DGX5F2	Registration	RW	DIR2	goto	1
DGX5F2	Registration	SCAN	DGPTSCAN	do	1
DGX5F2	Registration	SET	DIED	do	1
DGX5F2	Registration	SET	DIQ	func	1
DGX5F2	Registration	UNIQFERR	DIE17	goto	1
DGX5F2	Registration	Z	DIE17	goto	1
DGX5F2	Registration	Z	DIE2	goto	1
DGX5F3	Registration		DIE17	goto	1
DGX5F3	Registration	AST	DIED	goto	1
DGX5F3	Registration	E	DIE0	do	6
DGX5F3	Registration	EZBLD	DIALOG	func	1
DGX5F3	Registration	F	DIE17	do	11
DGX5F3	Registration	FILEHNC	DGNTAPI1	func	1
DGX5F3	Registration	FIREREC	DIE17	do	11
