routine_name	tag	data
ACKQUTL2	ASPDIV	
ACKQUTL2	CLNDIV	
ACKQUTL2	DIV	
ACKQUTL2	DIVHLP	
ACKQUTL2	DIVLIST	
ACKQUTL2	DIVX	
ACKQUTL2	LEADROLE	
ACKQUTL2	MC	
ACKQUTL2	UC	
ACKQUTL3	ACKQUTL3	
ACKQUTL3	DISPLAY	
ACKQUTL3	PCECHK	
ACKQUTL3	PCECHKV	
ACKQUTL3	PCEERR	
ACKQUTL3	PROBLIST	
ACKQUTL3	PROBLISX	
ACKQUTL4	ACKCP	
ACKQUTL4	ACKQUTL4	
ACKQUTL4	AUDIO	
ACKQUTL4	CHK	
ACKQUTL4	CLEAR	
ACKQUTL4	CONVERT	
ACKQUTL4	CONVERT1	
