routine_name	package	source_path	line_count	byte_size	first_line_comment	version_line	tag_count	comment_line_count	is_percent_routine
A1AXREC1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXREC1.m	37	2547	A1AXREC1 ;SLL/ALB ISC; PRINT ROUTINE FOR GIVEN RECOMMEND; 3/10/88	;;VERSION 1.0	20	2	N
A1AXREC2	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXREC2.m	35	2171	A1AXREC2 ;SLL/ALB ISC; PRINT ROUTINE FOR GIVEN RECOMMEND; 3/10/88	;;VERSION 1.0	10	2	N
A1AXREL	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXREL.m	21	980	A1AXREL ;SLL/ALB ISC; Release or Un-release a Recommend/Action Plan;5/31/88	;;VERSION 1.0	4	2	N
A1AXRL	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXRL.m	26	1121	A1AXRL ;SLL/ALB ISC; FACILITY RECOMMENDATION LIST WITHIN DATE RANGE; 3/11/88	;;VERSION 1.0	7	3	N
A1AXRL1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXRL1.m	24	1240	A1AXRL1 ;SLL/ALB ISC; FACILITY RECOMMENDATION LIST WITHIN DATE RANGE; 3/11/88	;;VERSION 1.0	4	2	N
A1AXRL2	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXRL2.m	51	2211	A1AXRL2 ;SLL/ALB ISC; FACILITY RECOMMMENDATION LIST WITHIN DATE RANGE; 3/11/88	;;VERSION 1.0	10	2	N
A1AXSCN	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXSCN.m	28	684	A1AXSCN ;SLL/ALB ISC; FLAG SCREEN;5/15/88	;;VERSION 1.0	12	2	N
A1AXSEC	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXSEC.m	11	466	A1AXSEC ;SLL/ALB ISC; SECURITY CHECKER; 4/20/88		1	2	N
A1AXSU	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXSU.m	17	488	A1AXSU ;SLL/ALB ISC; SURVEY REPORT;1/15/88	;;VERSION 1.0	5	2	N
A1AXSUP	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXSUP.m	67	3007	A1AXSUP ; GENERATED FROM 'A1AX PSU' PRINT TEMPLATE (#1461) ; 06/10/88 ; (FILE 11830, MARGIN=132)		17	0	N
A1AXTAR	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXTAR.m	45	2259	A1AXTAR ;SLL/ALB ISC; FACILITY TARGET DATE REPORT FOR ALL OR SELECTED FACILITIES; 1/15/88	;;VERSION 1.0	15	4	N
A1AXTAR1	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXTAR1.m	48	2569	A1AXTAR1 ;SLL/ALB ISC; FACILITY TARGET DATE REPORT PRINT RPOCESSING; 1/15/88	;;VERSION 1.0	17	2	N
