routine	entry_index	line_text	tag_offset	error_text
DG53455P	1	1	DG53455P	S - First line of routine violates the SAC.
DG53470P	1	1	DG53470P	S - First line of routine violates the SAC.
DG53489P	1	1	DG53489P	S - First line of routine violates the SAC.
DG53538P	1	1	DG53538P	S - First line of routine violates the SAC.
DG53588P	1	1	DG53588P	S - First line of routine violates the SAC.
DG53620D	1	1	DG53620D	S - First line of routine violates the SAC.
DG53620P	1	1	DG53620P	S - First line of routine violates the SAC.
DG53620X	1	1	DG53620X	S - First line of routine violates the SAC.
DG53620Y	1	1	DG53620Y	S - First line of routine violates the SAC.
DG53625P	1	1	DG53625P	S - First line of routine violates the SAC.
DG53653P	1	1	DG53653P	S - First line of routine violates the SAC.
DG53653U	1	1	DG53653U	S - First line of routine violates the SAC.
DG53653V	1	1	DG53653V	S - First line of routine violates the SAC.
DG53653W	1	1	DG53653W	S - First line of routine violates the SAC.
DG53653X	1	1	DG53653X	S - First line of routine violates the SAC.
DG53653Y	1	1	DG53653Y	S - First line of routine violates the SAC.
DG53657P	1	1	DG53657P	S - First line of routine violates the SAC.
DG53659	1	1	DG53659	S - First line of routine violates the SAC.
DG53659M	1	1	DG53659M	S - First line of routine violates the SAC.
DG53665O	1	1	DG53665O	S - First line of routine violates the SAC.
DG53672C	1	1	DG53672C	S - First line of routine violates the SAC.
DG53672R	1	1	DG53672R	S - First line of routine violates the SAC.
