file_number	piks	piks_method	piks_confidence	piks_evidence
413.028	I	H-05	certain	inherits from 413
413.03	I	H-05	certain	inherits from 413
413.046	I	H-05	certain	inherits from 413
413.1	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
413.11	I	H-05	certain	inherits from 413.1
413.111	I	H-05	certain	inherits from 413.1
413.151	I	H-05	certain	inherits from 413.015
413.1511	I	H-05	certain	inherits from 413.015
413.2	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
413.23	I	H-05	certain	inherits from 413.2
413.3	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
413.4	I	H-15	moderate	package=EQUIPMENT/TURN-IN REQUIEST (PRCN)
413.464	I	H-05	certain	inherits from 413.046
413.5	I	H-15	moderate	package=EQUIPMENT/TURN-IN REQUIEST (PRCN)
413.7	I	H-15	moderate	package=EQUIPMENT/TURN-IN REQUIEST (PRCN)
414.02	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
414.021	I	H-05	certain	inherits from 414.02
414.03	I	H-15	moderate	package=IFCAP (PRC)
414.031	I	H-05	certain	inherits from 414.03
414.0311	I	H-05	certain	inherits from 414.031
414.04	I	H-15	moderate	package=IFCAP (PRC)
414.06	I	H-15	moderate	package=IFCAP (PRC)
414.061	I	H-05	certain	inherits from 414.06
414.0613	I	H-05	certain	inherits from 414.061
414.07	I	H-15	moderate	package=IFCAP (PRC)
414.41	I	H-05	certain	inherits from 414.04
417	I	H-15	moderate	package=IFCAP (PRC)
417.1	I	H-15	moderate	package=IFCAP (PRC)
420	I	H-11	high	global=
420.01	I	H-05	certain	inherits from 420
420.02	I	H-05	certain	inherits from 420.01
420.03	I	H-05	certain	inherits from 420.01
420.04	I	H-05	certain	inherits from 420.01
420.05	I	H-05	certain	inherits from 420
420.06	I	H-05	certain	inherits from 420.01
420.07	I	H-05	certain	inherits from 420.01
420.1	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
