file_number	file_name	global_root	parent_file	field_count	pointer_in	pointer_out	record_count	is_dinum	piks	piks_method	piks_confidence	piks_evidence	piks_secondary	volatility	sensitivity	portability	volume	subdomain	status
6924.1	FSA-ACCIDENT ACTIVITY	^ENG(6924.1,		1	1	0	14	N											extracted
6924.2	FSA-ACCIDENT NATURE	^ENG(6924.2,		1	1	0	16	N											extracted
6924.3	FSA-DIVISION/SERVICE	^ENG(6924.3,		3	1	0	59	N											extracted
6925	CONSTRUCTION PROJECT	^ENG("PROJ",		412	2	22	11	N											extracted
6925.01	REMARKS SUB-FIELD	^ENG("PROJ",	6925	1	0	0													extracted
6925.0164	CITATIONS SUB-FIELD	^ENG("PROJ",	6925	7	0	1													extracted
6925.0166	NHCU CONVERSION SUB-FIELD	^ENG("PROJ",	6925	2	0	0													extracted
6925.0177	BUILDING NUMBER SUB-FIELD	^ENG("PROJ",	6925	1	0	1													extracted
6925.0186	OLD NHCU CONVERSION SUB-FIELD	^ENG("PROJ",	6925	2	0	0													extracted
6925.0192	PROJECT DESCRIPTION (SHORT) SUB-FIELD	^ENG("PROJ",	6925	1	0	0													extracted
6925.0225	DOMINOS SUB-FIELD	^ENG("PROJ",	6925	3	0	1													extracted
6925.0277	LONG DESCRIPTION SUB-FIELD	^ENG("PROJ",	6925	1	0	0													extracted
6925.0278	LONG JUSTIFICATION SUB-FIELD	^ENG("PROJ",	6925	1	0	0													extracted
6925.0282	IMPACT JUSTIFICATION SUB-FIELD	^ENG("PROJ",	6925	1	0	0													extracted
6925.03	H089 SUB-FIELD	^ENG("PROJ",	6925	5	0	1													extracted
6925.0301	COMMUNICATION LOG SUB-FIELD	^ENG("PROJ",	6925	1	0	0													extracted
6925.04	EQUIPMENT OVER $250K SUB-FIELD	^ENG("PROJ",	6925	5	0	0													extracted
6925.05	JUSTIFICATION (SHORT) SUB-FIELD	^ENG("PROJ",	6925	1	0	0													extracted
6925.06	WORKLOAD SUB-FIELD	^ENG("PROJ",	6925	1	0	0													extracted
6925.2	PROJECT STATUS	^ENG(6925.2,		5	1	0	20	N											extracted
6925.3	PROJECT EPA CATEGORY	^ENG(6925.3,		5	1	1	35	N											extracted
6926	EMPLOYEE(KEYS)	^ENG("KEY",		4	1	2	1	N											extracted
6926.01	KEYS ISSUED SUB-FIELD	^ENG("KEY",	6926	3	0	1													extracted
6926.02	DATE ISSUED SUB-FIELD	^ENG("KEY",	6926.01	2	0	0													extracted
6927	LOCKS	^ENG("LK",		6	2	0	1	N											extracted
6927.01	MASTER SUB-FIELD	^ENG("LK",	6927	2	0	0													extracted
6927.02	SUB-MASTER SUB-FIELD	^ENG("LK",	6927.01	1	0	0													extracted
6928	ENG SPACE	^ENG("SP",		42	3	6	1	N											extracted
6928.01	UTILITIES SUB-FIELD	^ENG("SP",	6928	1	0	1													extracted
6928.018	SYNONYM SUB-FIELD	^ENG("SP",	6928	1	0	0													extracted
6928.02	COMMENTS SUB-FIELD	^ENG("SP",	6928	1	0	0													extracted
6928.03	OTHER KEY SUB-FIELD	^ENG("SP",	6928	1	0	0													extracted
6928.04	LIGHTING SUB-FIELD	^ENG("SP",	6928	3	0	0													extracted
6928.1	ENG SPACE FUNCTIONS	^ENG(6928.1,		2	1	0	112	N											extracted
6928.2	ENG SPACE UTILITIES	^ENG(6928.2,		1	1	0	33	N											extracted
6928.3	ENG BUILDING	^ENG(6928.3,		34	2	3	1	N											extracted
6928.321	REMARKS SUB-FIELD	^ENG(6928.3,	6928.3	1	0	0													extracted
6929	ENG EMPLOYEE	^ENG("EMP",		20	6	2	1	N											extracted
6930	PENDING RTLS EVENTS	^VIAA(6930,		4	0	1	1	N											extracted
7115.1	HDIS DOMAIN	^HDIS(7115.1,		2	0	1	15	N											extracted
7115.11	FILE/FIELD SUB-FIELD	^HDIS(7115.1,	7115.1	1	0	1													extracted
7115.3	HDIS XML TEMPLATE	^HDIS(7115.3,		6	0	0	5	N											extracted
7115.34	ELEMENT NUMBER SUB-FIELD	^HDIS(7115.3,	7115.3	6	0	0													extracted
7115.5	HDIS STATUS	^HDIS(7115.5,		4	1	0	23	N											extracted
7115.51	STATUS DESCRIPTION SUB-FIELD	^HDIS(7115.5,	7115.5	1	0	0													extracted
7115.6	HDIS FILE/FIELD	^HDIS(7115.6,		3	4	0	41	N											extracted
7118.11	HDIS TERM/CONCEPT VUID ASSOCIATION	^HDISV(7118.11,		6	1	1	1	N											extracted
7118.12	EFFECTIVE DATE/TIME SUB-FIELD	^HDISV(7118.11,	7118.11	2	0	0													extracted
7118.13	FILE/FIELD SUB-FIELD	^HDISV(7118.11,	7118.11	1	0	1													extracted
7118.21	HDIS SYSTEM	^HDISF(7118.21,		3	3	1	9	N											extracted
7118.22	HDIS FACILITY TERM/CONCEPT ASSOCIATION	^HDISF(7118.22,		5	0	3	1	N											extracted
7118.25	HDIS VUID IMPLEMENTATION STATUS	^HDISF(7118.25,		4	0	3	66	N											extracted
7118.27	HDIS TEXT FILE DEPLOYMENT TRACKING	^HDISF(7118.27,		7	0	0	4	N											extracted
7118.29	HDIS PARAMETER	^HDISF(7118.29,		20	0	1	3	N											extracted
7335.7	REGULATORY AGENCY	^OFM(7335.7,		8	1	1	19	N											extracted
7336.3	OFM SPACE CLASSIFICATION	^OFM(7336.3,		4	1	0	13	N											extracted
7336.6	OFM H089 CHAPTERS	^OFM(7336.6,		5	2	0	89	N											extracted
7336.8	OFM PROJ CATEGORY	^OFM(7336.8,		19	2	4	66	N											extracted
7336.9	OFM BUDGET CATEGORY	^OFM(7336.9,		3	2	0	43	N											extracted
8925	TIU DOCUMENT	^TIU(8925,		75	31	31	13083	N											extracted
8925.02	REPORT TEXT SUB-FIELD	^TIU(8925,	8925	1	0	0													extracted
8925.03	EDIT TEXT BUFFER SUB-FIELD	^TIU(8925,	8925	1	0	0													extracted
8925.1	TIU DOCUMENT DEFINITION	^TIU(8925.1,		54	19	8	1114	N											extracted
8925.11	UPLOAD DELIMITED ASCII HEADER SUB-FIELD	^TIU(8925.1,	8925.1	8	0	0													extracted
8925.111	STAT AUTO PRINT EVENT SUB-FIELD	^TIU(8925.1,	8925.1	1	0	0													extracted
8925.112	ROUTINE AUTO PRINT EVENT SUB-FIELD	^TIU(8925.1,	8925.1	1	0	0													extracted
8925.113	PROCESSING STEPS SUB-FIELD	^TIU(8925.1,	8925.1	5	0	2													extracted
8925.114	DIALOG SUB-FIELD	^TIU(8925.1,	8925.1	12	0	0													extracted
8925.12	UPLOAD CAPTIONED ASCII HEADER SUB-FIELD	^TIU(8925.1,	8925.1	8	0	0													extracted
8925.13	BOILERPLATE TEXT SUB-FIELD	^TIU(8925.1,	8925.1	1	0	0													extracted
8925.14	ITEM SUB-FIELD	^TIU(8925.1,	8925.1	4	0	1													extracted
8925.2	TIU UPLOAD BUFFER	^TIU(8925.2,		6	1	2	1	N											extracted
8925.21	REPORT TEXT SUB-FIELD	^TIU(8925.2,	8925.2	1	0	0													extracted
8925.22	ERROR LOG ENTRIES SUB-FIELD	^TIU(8925.2,	8925.2	1	0	1													extracted
8925.3	TIU UPLOAD ERROR DEFINITION	^TIU(8925.3,		4	0	0	9	N											extracted
8925.4	TIU UPLOAD LOG	^TIU(8925.4,		11	1	3	263	N											extracted
8925.41	HEADER TEXT SUB-FIELD	^TIU(8925.4,	8925.4	1	0	0													extracted
8925.42	MISSING FIELDS SUB-FIELD	^TIU(8925.4,	8925.4	4	0	0													extracted
8925.5	TIU AUDIT TRAIL	^TIU(8925.5,		26	0	13	0	N											extracted
8925.51	PRE-EDIT TEXT SUB-FIELD	^TIU(8925.5,	8925.5	1	0	0													extracted
8925.6	TIU STATUS	^TIU(8925.6,		8	5	0	19	N											extracted
